iter	RMSE
0	2.513420036e+10
1	2.418414314e+10
2	2.329071571e+10
3	2.244739741e+10
4	2.16719834e+10
5	2.094942851e+10
6	2.025203447e+10
7	1.954421676e+10
8	1.890998444e+10
9	1.827848689e+10
10	1.772294919e+10
11	1.715505055e+10
12	1.667313755e+10
13	1.621988313e+10
14	1.576825669e+10
15	1.535105915e+10
16	1.496105753e+10
17	1.456398967e+10
18	1.421327417e+10
19	1.384519737e+10
20	1.353419216e+10
21	1.32250198e+10
22	1.291410785e+10
23	1.266065645e+10
24	1.242344173e+10
25	1.219234237e+10
26	1.198877709e+10
27	1.179788726e+10
28	1.159548504e+10
29	1.140631408e+10
30	1.123629236e+10
31	1.108554484e+10
32	1.093159789e+10
33	1.078313748e+10
34	1.063788453e+10
35	1.052200145e+10
36	1.040572021e+10
37	1.029799117e+10
38	1.020676999e+10
39	1.011564983e+10
40	1.002186765e+10
41	9929913340
42	9853988217
43	9778649801
44	9695288909
45	9627455962
46	9572601961
47	9518810529
48	9464286208
49	9418756505
50	9355037542
51	9311394800
52	9277414652
53	9231768871
54	9193443990
55	9152306679
56	9112486223
57	9080272788
58	9039803117
59	9003910429
60	8975423657
61	8949104132
62	8913955203
63	8882535889
64	8859002157
65	8836011785
66	8808121855
67	8775743569
68	8745470857
69	8713491241
70	8692881010
71	8673331158
72	8650668792
73	8630026571
74	8606025140
75	8586736127
76	8566885324
77	8551704951
78	8536064147
79	8520911250
80	8507721285
81	8489450618
82	8481780631
83	8464584935
84	8454612678
85	8434883486
86	8429886903
87	8404170668
88	8393137217
89	8378640804
90	8367907484
91	8355291023
92	8336751741
93	8327891948
94	8311508430
95	8297814183
96	8292432751
97	8277645879
98	8269398715
99	8268112701
100	8256321381
101	8238582091
102	8227142979
103	8217793700
104	8210295671
105	8197164534
106	8188030947
107	8183045402
108	8175418986
109	8159838777
110	8145965157
111	8137709080
112	8130679217
113	8122242919
114	8112608553
115	8104451306
116	8098897469
117	8094310459
118	8088310421
119	8078491683
120	8070102050
121	8066651690
122	8060160978
123	8056827404
124	8047374777
125	8038601064
126	8035731340
127	8033789941
128	8030207613
129	8025805971
130	8016156276
131	8008687154
132	8002479905
133	7997370670
134	7990817701
135	7981774141
136	7978543455
137	7973706335
138	7967168065
139	7960828357
140	7942215588
141	7928459753
142	7923597931
143	7914227462
144	7901855482
145	7898023903
146	7879806354
147	7870442073
148	7863748216
149	7851884614
150	7841412607
151	7834309526
152	7821724814
153	7812557265
154	7809153011
155	7804654160
156	7800812644
157	7795858669
158	7787700771
159	7780710460
160	7773776898
161	7770606404
162	7768231847
163	7763181508
164	7752120704
165	7739923788
166	7730843797
167	7726034378
168	7713943244
169	7705973757
170	7697917778
171	7693503819
172	7689195982
173	7674019192
174	7670289676
175	7663154745
176	7657647221
177	7652309147
178	7645080221
179	7635405690
180	7627592671
181	7619616680
182	7613016535
183	7605271361
184	7602209441
185	7592125797
186	7578305306
187	7574212324
188	7567631273
189	7562446065
190	7551006473
191	7544324144
192	7537948534
193	7531572916
194	7525477917
195	7512821217
196	7505833451
197	7501885591
198	7490064103
199	7484273364
200	7474926326
201	7470111644
202	7458679771
203	7452093624
204	7443798606
205	7438986494
206	7430374042
207	7421665764
208	7412424072
209	7402232174
210	7396059546
211	7387670528
212	7381803916
213	7373317666
214	7364981900
215	7360576699
216	7353315378
217	7347617805
218	7338975214
219	7333756748
220	7326064433
221	7318470776
222	7314942975
223	7309662113
224	7306451669
225	7299005156
226	7294929444
227	7289564775
228	7285135469
229	7278688581
230	7273680313
231	7269772386
232	7264763934
233	7260568279
234	7256067109
235	7251336887
236	7248301095
237	7246502147
238	7240261593
239	7238372987
240	7233196463
241	7229142637
242	7224530125
243	7220583696
244	7218708568
245	7214540419
246	7210347534
247	7205684378
248	7201788104
249	7197880529
250	7193565690
251	7189444077
252	7187421972
253	7185380970
254	7181405462
255	7179286622
256	7177359303
257	7175518811
258	7171948335
259	7167317261
260	7163500871
261	7161758243
262	7159827098
263	7156067384
264	7154420411
265	7153042368
266	7149769026
267	7146298636
268	7143176616
269	7139078167
270	7133708686
271	7130177518
272	7126852181
273	7125325469
274	7121394161
275	7119921240
276	7118512840
277	7112880016
278	7110306818
279	7108968074
280	7105461330
281	7104178250
282	7101069007
283	7099849228
284	7096908527
285	7094511889
286	7092459316
287	7089571543
288	7084737551
289	7079697567
290	7078586941
291	7072195375
292	7067424753
293	7063116794
294	7060378600
295	7056266509
296	7052312936
297	7048510245
298	7045940125
299	7041297366
300	7039461545
301	7037614731
302	7032848115
303	7027957126
304	7026936619
305	7021845265
306	7019434240
307	7014276348
308	7012557432
309	7007776009
310	7005233691
311	7001857797
312	7000382767
313	6998777306
314	6996530498
315	6994998680
316	6990234292
317	6987782489
318	6982977723
319	6981518540
320	6976774361
321	6974630173
322	6971654052
323	6967365617
324	6966441057
325	6962479170
326	6958912585
327	6954543971
328	6950122387
329	6946770461
330	6945705534
331	6942678720
332	6940118155
333	6938090679
334	6935818289
335	6934807266
336	6930511580
337	6927946639
338	6925948458
339	6922385723
340	6918230919
341	6915849242
342	6911771492
343	6907983900
344	6905591328
345	6903732859
346	6899906316
347	6896172891
348	6893562140
349	6888843886
350	6886337628
351	6883047953
352	6880534751
353	6877159044
354	6873681335
355	6871462534
356	6866983203
357	6863739530
358	6862231074
359	6860040141
360	6857138058
361	6852772054
362	6851112211
363	6850022367
364	6846019754
365	6842799900
366	6839255120
367	6835459854
368	6832558299
369	6830639591
370	6825398722
371	6824031443
372	6820888205
373	6819152588
374	6816704675
375	6815721050
376	6812626002
377	6811095319
378	6809436658
379	6805227964
380	6801001697
381	6797700684
382	6792981303
383	6791707934
384	6787836507
385	6782391661
386	6779504040
387	6778682914
388	6775515631
389	6772816464
390	6769706058
391	6768074323
392	6765088695
393	6761063760
394	6756674606
395	6754940947
396	6753238132
397	6751589657
398	6748135126
399	6744741147
400	6742884641
401	6738967574
402	6733818202
403	6730213587
404	6728728546
405	6726965073
406	6724999781
407	6723348746
408	6721769008
409	6718257879
410	6715614690
411	6714647225
412	6711087901
413	6708855354
414	6705731401
415	6703185732
416	6702168881
417	6700558272
418	6697963307
419	6694640381
420	6691827444
421	6689764351
422	6687614599
423	6685739485
424	6680425880
425	6679698787
426	6677269350
427	6675785714
428	6675091308
429	6670181676
430	6666712342
431	6665224116
432	6661478139
433	6656821023
434	6653656350
435	6650326750
436	6648095063
437	6645668537
438	6642095009
439	6639089715
440	6638402976
441	6635028893
442	6632359197
443	6628457480
444	6626880955
445	6626116790
446	6623421065
447	6621755753
448	6620393163
449	6619014032
450	6618304067
451	6614492663
452	6613805504
453	6613142593
454	6609873663
455	6606400957
456	6604978856
457	6599671820
458	6598130342
459	6597494802
460	6595453282
461	6592527009
462	6589790578
463	6588409105
464	6586574510
465	6583753639
466	6583189544
467	6576607209
468	6574260913
469	6570810201
470	6567809792
471	6565377776
472	6562426333
473	6560840850
474	6558828625
475	6557691614
476	6556577423
477	6554039679
478	6551026235
479	6545483080
480	6542691005
481	6541919603
482	6540280598
483	6539377745
484	6535869389
485	6535343891
486	6533029237
487	6528406379
488	6525517153
489	6522886090
490	6518779846
491	6517222413
492	6516717497
493	6513178739
494	6510581953
495	6508704993
496	6506778983
497	6506236954
498	6504329569
499	6502872496
500	6501476337
501	6501021127
502	6498377024
503	6495199893
504	6491620269
505	6489969175
506	6487013579
507	6486302511
508	6483057188
509	6481817305
510	6476963521
511	6475223555
512	6473726597
513	6473300949
514	6471745068
515	6471282576
516	6468167476
517	6465683241
518	6463105760
519	6461751307
520	6458236400
521	6455762880
522	6454303957
523	6449225510
524	6447464094
525	6444860983
526	6442612185
527	6439098128
528	6437962600
529	6436414004
530	6434104688
531	6429456135
532	6427550130
533	6426170044
534	6425744280
535	6423759854
536	6423336147
537	6421984887
538	6421159582
539	6418466393
540	6414148733
541	6413736282
542	6411839509
543	6410388808
544	6408479065
545	6404461069
546	6401266897
547	6399420450
548	6395335492
549	6392946662
550	6391535420
551	6389737157
552	6388083494
553	6386302219
554	6385519769
555	6385148264
556	6384760146
557	6384256059
558	6383769438
559	6382423500
560	6382060053
561	6376994054
562	6372149913
563	6371680997
564	6368879004
565	6365323118
566	6364969491
567	6363200466
568	6361848816
569	6359645546
570	6358398195
571	6354353288
572	6352989669
573	6351681459
574	6349203777
575	6346382268
576	6346027872
577	6344184465
578	6343848768
579	6343503270
580	6341439092
581	6338093233
582	6334212900
583	6332124952
584	6331785939
585	6329717249
586	6326930215
587	6326601265
588	6326172980
589	6325007483
590	6323741705
591	6322751505
592	6322436932
593	6321723515
594	6320837290
595	6318235653
596	6316187377
597	6315886388
598	6315593692
599	6311102740
600	6309963338
601	6305676278
602	6305390228
603	6305112015
604	6303083460
605	6301758432
606	6301487789
607	6299392257
608	6296922356
609	6294684317
610	6293481322
611	6292236099
612	6290042415
613	6288739389
614	6287965527
615	6286726557
616	6286471761
617	6284223176
618	6283200618
619	6279421559
620	6276183133
621	6273059812
622	6271335685
623	6267550244
624	6266545158
625	6264912636
626	6261831099
627	6258223299
628	6257268677
629	6254934159
630	6253752874
631	6250785881
632	6249806941
633	6246961768
634	6245912799
635	6244893360
636	6243719006
637	6242787945
638	6241423756
639	6239818999
640	6237545424
641	6236798809
642	6236031529
643	6234927774
644	6233471470
645	6231816328
646	6229878215
647	6229569484
648	6227738197
649	6227437588
650	6227145497
651	6225465098
652	6223042435
653	6220713163
654	6220428334
655	6219780306
656	6218816350
657	6217595709
658	6214518510
659	6213235173
660	6211908181
661	6210173134
662	6209654050
663	6208716530
664	6207298835
665	6205693457
666	6204562978
667	6204296634
668	6200869094
669	6200171603
670	6199872403
671	6199142854
672	6198805208
673	6198480169
674	6198014960
675	6196734536
676	6195216696
677	6194504906
678	6193548430
679	6192659783
680	6192000572
681	6190866985
682	6190010461
683	6189574081
684	6186762977
685	6185936956
686	6185274739
687	6183001791
688	6181460340
689	6179083270
690	6177535380
691	6176530112
692	6175696887
693	6174242308
694	6173502132
695	6171241859
696	6169278642
697	6168038826
698	6167378558
699	6166819455
700	6166301021
701	6164865388
702	6163672236
703	6162811009
704	6161784323
705	6160410456
706	6158591718
707	6157951596
708	6157586867
709	6156517414
710	6155704944
711	6152883214
712	6151769982
713	6150464252
714	6149587748
715	6147274702
716	6147100564
717	6146383816
718	6145593449
719	6144580834
720	6142543829
721	6141579629
722	6140813076
723	6139576549
724	6139306072
725	6138193627
726	6134992842
727	6132803042
728	6132360271
729	6131492336
730	6130413872
731	6129671953
732	6129100078
733	6126750101
734	6126022473
735	6123255313
736	6121768381
737	6121164375
738	6120605382
739	6119732502
740	6117797169
741	6114992824
742	6114315268
743	6110532485
744	6109833395
745	6108424814
746	6107984755
747	6104417215
748	6103903448
749	6102620118
750	6101772119
751	6099457421
752	6097531744
753	6094952124
754	6094027346
755	6093523851
756	6091683023
757	6090785861
758	6089871099
759	6089029238
760	6086236987
761	6084992615
762	6084357679
763	6083026459
764	6080316066
765	6079441504
766	6078817380
767	6078213421
768	6077705592
769	6075887287
770	6073201471
771	6072804168
772	6071851791
773	6068904914
774	6068317504
775	6066154722
776	6064101116
777	6063259217
778	6060639638
779	6059613638
780	6058988875
781	6058811195
782	6057462403
783	6054908650
784	6054348589
785	6053806516
786	6051574828
787	6049891855
788	6049718605
789	6049551241
790	6048470451
791	6048114441
792	6047726922
793	6047585479
794	6047055306
795	6046733422
796	6046583782
797	6046439167
798	6044862038
799	6043846299
800	6042850357
801	6042567730
802	6040712359
803	6039160260
804	6038259208
805	6038015814
806	6037485659
807	6034963569
808	6034083826
809	6033571185
810	6033435259
811	6032938887
812	6031720659
813	6031110661
814	6028692523
815	6028567296
816	6027201211
817	6026341935
818	6025112599
819	6024249536
820	6022660032
821	6022100453
822	6021616530
823	6018362755
824	6015979486
825	6015509300
826	6014452165
827	6013097085
828	6012347486
829	6009779980
830	6009566779
831	6009339214
832	6008847294
833	6007593894
834	6005031224
835	6004905244
836	6003918367
837	6001982327
838	6000735936
839	5999892984
840	5999772145
841	5999517004
842	5998780077
843	5997311936
844	5995040323
845	5992720691
846	5988491770
847	5987339848
848	5984673156
849	5982534646
850	5981502932
851	5980854097
852	5978727240
853	5978524321
854	5978086067
855	5977645268
856	5976745774
857	5975889904
858	5973872932
859	5971228065
860	5969173116
861	5968357625
862	5966354619
863	5965895052
864	5962531077
865	5960721851
866	5959204736
867	5957274322
868	5956396217
869	5955691953
870	5955250992
871	5953310237
872	5951038419
873	5949207371
874	5948783430
875	5946620973
876	5944698980
877	5942903610
878	5941162026
879	5939465417
880	5938582302
881	5937694625
882	5935247305
883	5934753483
884	5933126950
885	5932271778
886	5930697458
887	5928572272
888	5926670486
889	5924673684
890	5923189179
891	5922409118
892	5920472470
893	5920272521
894	5918695955
895	5917917189
896	5916379158
897	5914903011
898	5913784841
899	5911801203
900	5908905892
901	5906957525
902	5905525897
903	5902800880
904	5902385141
905	5899970867
906	5898535199
907	5897903889
908	5896422878
909	5893954954
910	5891708190
911	5889292218
912	5887348220
913	5885341420
914	5882429052
915	5880894232
916	5879593081
917	5878287995
918	5877039932
919	5875822320
920	5875056646
921	5873869889
922	5871712085
923	5869699004
924	5867966483
925	5866778111
926	5866176998
927	5865003411
928	5862113184
929	5859824100
930	5857433246
931	5857007698
932	5854726219
933	5854536919
934	5852298086
935	5849613321
936	5849431328
937	5846659477
938	5845765923
939	5845589486
940	5843278527
941	5842410730
942	5841276659
943	5840167041
944	5838262358
945	5837422640
946	5836192464
947	5833944729
948	5832851863
949	5831217218
950	5829488878
951	5827340876
952	5826296105
953	5823714870
954	5823009887
955	5820947188
956	5818521962
957	5817489424
958	5817319651
959	5816246896
960	5814679858
961	5814099084
962	5811223092
963	5808951158
964	5808207963
965	5807170834
966	5805084968
967	5803903546
968	5802915210
969	5801208924
970	5798818769
971	5795349142
972	5793342995
973	5789326596
974	5787869065
975	5786350207
976	5785977691
977	5785026720
978	5783444264
979	5781272592
980	5779154092
981	5778792653
982	5776726920
983	5776376820
984	5775279529
985	5774383407
986	5773557852
987	5772646482
988	5770849284
989	5769428034
990	5768198146
991	5766591639
992	5763934032
993	5761041844
994	5760154020
995	5756334781
996	5753848740
997	5752580198
998	5751487962
999	5750274407
